
"Course & Section Code","Meeting & Section","Restrictions & Instructions","Day(s)","Start","End","Location","Instructor","Changes"
"ACTB40H3 F","LEC01","W","TU","10:00","11:00","IC 200","S.Damouras",""
"ACTB40H3 F","LEC01","","TH","10:00","11:00","IC 200","",""
"ACTB40H3 F","TUT0001","","TU","15:00","16:00","IC 208","",""
"ACTB47H3 S","LEC01","W","WE","09:00","10:00","BV 355","S.Damouras",""
"ACTB47H3 S","LEC01","","FR","09:00","11:00","MW 140","",""
"AFSA01H3 F","LEC01","W","TU","10:00","12:00","IC 220","T.Kepe/S.Rockel/N.Ten Kortenaar",""
"AFSA03H3 S","LEC01","W,C","FR","10:00","13:00","MW 110","L.Chan",""
"AFSB01H3 S","LEC01","W","TU","13:00","15:00","IC 320","M.Mulugetta",""
"AFSB01H3 S","TUT0001","","","","","","","Cancelled. 09/06/12"
"AFSB01H3 S","TUT0002","","TU","15:00","16:00","AA 209","",""
"ANTA01H3 F","LEC01","W","TU","11:00","13:00","SY 110","G.Dewar",""
"ANTA01H3 F","LEC02","W","TH","12:00","14:00","AA 112","G.Dewar",""
"ANTA01H3 F","LEC03","W","MO","15:00","17:00","SY 110","M.Silcox",""
"ANTA01H3 F","TUT0001","","TH","14:00","15:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0002","","TH","15:00","16:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0003","","TH","16:00","17:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0004","","TH","17:00","18:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0005","","TH","18:00","19:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0006","","FR","10:00","11:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0007","","FR","11:00","12:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0008","","FR","12:00","13:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0009","","","","","","","Cancelled. 08/10/12"
"ANTA01H3 F","TUT0010","","","","","","","Cancelled. 08/10/12"
"ANTA01H3 F","TUT0011","","TH","10:00","11:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0012","","TH","11:00","12:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0013","","TH","12:00","13:00","MW 329","","Held every other Week. Starts week 1."
"ANTA01H3 F","TUT0014","","","","","","","Cancelled. 09/12/12"
"ANTA01H3 F","TUT0015","","TH","14:00","15:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0016","","TH","15:00","16:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0017","","TH","16:00","17:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0018","","TH","17:00","18:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0019","","TH","18:00","19:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0020","","FR","10:00","11:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0021","","FR","11:00","12:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0022","","FR","12:00","13:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0025","","TH","10:00","11:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0026","","TH","11:00","12:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0027","","TH","12:00","13:00","MW 329","","Held every other week. Starts Week 2"
"ANTA01H3 F","TUT0028","","","","","","","Cancelled. 09/12/12"
"ANTA02H3 F","LEC01","W","MO","10:00","12:00","HW 216","B.Dahl",""
"ANTA02H3 F","TUT0001","","MO","12:00","13:00","HW 402","",""
"ANTA02H3 F","TUT0002","","MO","13:00","14:00","SW 143","",""
"ANTA02H3 F","TUT0003","","MO","14:00","15:00","AA 206","",""
"ANTA02H3 F","TUT0004","","MO","16:00","17:00","HW 408","",""
"ANTA02H3 F","TUT0005","","TU","09:00","10:00","BV 260","","Classroom changed. 09/11/12"
